ISO3,country_name,year,ag_harvester,ag_milkingmachine,ag_tractor,atm,aviationpkm,aviationtkm,bed_acute,bed_hosp,bed_longterm,cabletv,cellphone,cheque,computer,creditdebit,eft,elecprod,fert_total,internetuser,irrigatedarea,kidney_dialpat,kidney_homedialpat,loom_auto,loom_total,mail,med_catscanner,med_lithotriptor,med_mammograph,med_mriunit,med_radiationequip,newspaper,pctdaysurg_cataract,pctdaysurg_cholecyst,pctdaysurg_hernia,pctdaysurg_lapcholecyst,pctdaysurg_tonsil,pctdaysurg_varicosevein,pcthomedialysis,pctimmunizdpt,pctimmunizmeas,pctirrigated,pctmvbyarea,pest_total,pos,radio,railline,railp,railpkm,railt,railtkm,ship_all,ship_motor,ship_sail,ship_steam,ship_steammotor,shipton_all,shipton_motor,shipton_sail,shipton_steam,shipton_steammotor,spindle_mule,spindle_ring,steel_acidbess,steel_basicbess,steel_bof,steel_eaf,steel_ohf,steel_other,steel_stainless,surg_appendectomy,surg_breastcnsv,surg_cardcath,surg_cataract,surg_cholecyst,surg_corbypass,surg_corinterven,surg_corstent,surg_csection,surg_hernia,surg_hipreplace,surg_hysterectomy,surg_kneereplace,surg_lapcholecyst,surg_mastectomy,surg_pacemaker,surg_prostatetrans,surg_prostatextrans,surg_tonsil,surg_varicosevein,telegram,telephone,transplant_bonemarrow,transplant_heart,transplant_kidney,transplant_liver,transplant_lung,tv,txtlmat_artif,txtlmat_otherraw,txtlmat_synth,txtlmat_totalraw,vehicle_car,vehicle_com,visitorbeds,visitorrooms,xlpopulation,xlrealgdp,pctivprimeenroll,pctivsecenroll,pctivprivateinv,pctivpublicinv,pctivliteracy,INV
SDN,SUDAN,2000,0.001523995247591646,,0.0024660514281202362,,,,,,,0.0,0.00021138954545454544,,0.0006153942197097318,,,,0.0011850585018522567,0.0002410585309662773,0.03556634245150459,,,,,,,,,,,,,,,,,,,0.22666666666666666,0.19999999999999996,0.01453245949969074,0.11048474024652924,0.003456259193055821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026520621413233626,,,,,,0.4916864608076009,0.07434376651679843
IRL,IRELAND,2000,0.0041247679937965335,0.10883444388888322,0.03478784603522389,0.003607620525191822,,,0.010336504848466425,,0.012306550555279053,0.008739145077720207,0.022526927272727273,0.0028878281622911695,0.008492969555412507,0.0031747141980057974,0.010524353743972112,0.01711353688343421,0.017513148158322646,0.00551039007436318,,,,,,,,,,,,,0.23341232227488148,0.07843137254901959,0.19971264367816094,0.07430340557275542,0.0,0.317295188556567,,0.8266666666666667,0.6615384615384616,,,0.01265755990739336,0.011644536266377953,,,,,,,,,,,,,,,,,,,,,,0.00750276912788146,,,,0.01740628782717405,0.013865122197358606,0.00246010360965355,0.032634834199685804,0.030027737960049893,0.043156328263946865,0.0032928044568423494,0.024619940167287382,,0.01993150724755653,0.015139569534698754,0.0009513496007367899,0.0020100995244398687,0.0055737581440891805,0.008642454845601088,0.0029932832040629707,0.012324588163514338,0.0,0.04809225325965886,0.016295677497577984,,,0.0023863350916855063,0.0068368277119416595,0.009195402298850575,0.008655394524959743,,0.00635153882198169,,,,,0.006191602343794017,,,0.014636597469787092,0.0025774057419355907,0.00994114724508283,,,,,0.996437054631829,0.07375041233994614
PRT,PORTUGAL,2000,0.0032610427275292274,,0.03520451435120264,0.03439071909632116,,,,,,0.012228818652849742,0.06123607272727273,0.006515513126491647,0.006578752967278921,0.018484841419722862,0.14118976788112675,0.03160344433190861,0.0063958089551261746,0.020575809497061504,0.011843281811711893,0.033833911545646425,0.0,,,,,,,,,,0.0,0.0,0.018678160919540228,0.0,0.05287009063444109,0.0,0.0,0.96,0.8153846153846155,0.15689654051680993,,0.10202560534005237,0.029129447442211538,,0.0020481241353118304,,,,,,,,,,,,,,,,,,,0.004179022308972386,0.014148676043386486,,,,0.03786851522347385,0.05363228174864347,0.008242056176119728,0.02771935361548082,0.10963009847906621,0.07869042865957679,0.004108251321724305,0.02287990719824165,0.03034680896648048,0.09337225055090732,0.022721510414315037,0.0036029835942797575,0.004280654017747708,0.03314126464053026,0.025787099976262922,0.022873946594564723,0.009899328859060403,0.03870906139597059,0.028861904033896085,0.02650005511176085,,,0.014443607133885959,0.0068368277119416595,0.026028921023359287,0.032407407407407406,0.0,,,,,,,,0.11982224042817527,0.023749315491181575,0.007371524641718587,0.017630847748056025,,,,,0.9085510688836105,0.0736402017144005
AUT,AUSTRIA,2000,0.012953959604528992,0.32142164715966487,0.06874631378749207,0.020236509395444396,,,0.0576247074201295,0.019322563894867622,0.00728238686060449,0.012947226683937824,0.05486270909090909,0.0002863961813842482,0.013842601961362489,0.004185027161875451,0.02471284884520823,0.04396031971944009,0.006315207442225841,0.021478482045089065,5.474552455336776e-05,0.014391421431863945,0.053672910966112396,,,,0.054924242424242424,0.01570048309178744,,0.03765323992994746,0.02756244616709733,,,,,,,,0.22020725388601037,0.7600000000000001,0.6307692307692309,0.0011414439455919054,,0.023428688270485262,0.012466638151722787,,,,,,,,,,,,,,,,,,,,,0.06364876193336086,0.011285502309348158,,,,0.056577876849604115,0.05032688341889342,0.027353949596656463,,,0.16053863743602773,0.013638473883688261,0.12053544172415899,0.010629168574000859,,0.058325026656617616,0.01483194510510389,0.028585698877285876,,0.023607604497097603,0.03264323353529772,0.04252593044539353,0.05419650529934116,,,,,0.024114544084400905,0.04056517775752051,0.028698553948832035,0.030193236714975844,0.06171548117154812,0.018304055543115722,,,,,,,0.3460183311189744,0.06987685549149868,0.005892621640116232,0.020220001056753343,,,,,,0.07194547546331677
NGA,NIGERIA,2000,,,0.006246066390679463,,,,,,,0.0006008286269430052,0.0003039810909090909,,0.005179729185098707,,,0.010493782211542351,0.005475233300173126,0.0007155600482170361,0.004233653898793773,,,,,,,,,,,,,,,,,,,0.0,0.015384615384615314,0.003287826581323381,0.39640411005107395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029292987532055794,,,,,,,,,,,,,,,0.08893988527700258,0.011829187057704903,,,,,0.5748218527315915,0.0704278506618046
EST,ESTONIA,2000,0.005790798062952136,0.03503096970377249,0.01054275006505234,0.000879267325067217,,,,0.0007120711604180581,,0.0016023886010362693,0.0048201754545454546,0.0,0.0012882163345965512,0.0005323572155774715,0.004211410989677629,0.005940862053874505,0.0010192087608408742,0.003001599747946985,5.474552455336776e-05,,,,,,,,,,,,,,,,,,,0.92,0.9076923076923079,0.0027529059868804952,,0.0012400319242261344,0.000972011980099258,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0026284904901919216,,,,,,0.0025709388694930423,,,,,0.002124204180517212,,0.009672750988376637,0.0017694171826653706,0.0007522121275120217,0.0019011875105883435,,,,,,0.06891083142617034
LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,2000,,,0.00022104254162672726,,,,,,,0.0,0.00011578627272727272,,7.477848576215277e-05,,,,0.00017108094870143305,4.506151504950764e-05,0.00317524042409533,,,,,,,,,,,,,,,,,,,0.3866666666666667,0.12307692307692303,0.09528106832113037,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00018657054835279175,,,,,,,,,,,,,0.006579475722451444,0.001704533674175022,0.003889896566459781,,,,,,0.5475059382422803,0.06874670958861187
ETH,ETHIOPIA,2000,9.405008454910662e-05,,0.000621044124966328,,,,,,,0.0,0.00016348163636363636,,0.00036485871286758893,,,0.0009245590691742297,0.004597910088690889,7.813424494695536e-05,0.003448968046862169,,,,,,,,,,,,,,,,,,,0.42666666666666675,0.27692307692307694,0.00614503658390848,0.29957629574528916,0.007921693303168017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014835665538825353,,,,,,,0.0047194142234607064,0.0015011019219909967,0.048984418517597564,0.002798250448428604,,,,,0.27315914489311166,0.06800858358945011
BFA,BURKINA FASO,2000,,,0.00041166829618700577,,,,,,,0.0,0.00022729854545454545,,7.971556640281945e-05,,,,0.000987003225229501,6.834718613185216e-05,0.0004379641964269421,,,,,,,,,,,,,,,,,,,0.43999999999999995,0.3846153846153846,0.002499696238305175,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00024888092422762796,,,,,,,,,,,,,,,0.008447363283968575,,,,,,0.08669833729216152,0.06605154709784858
KHM,CAMBODIA,2000,1.7274505325346113e-05,,0.00038250151406849317,,,,,,,,0.0010887045454545455,,7.29089591762958e-05,,,,,4.333941218340437e-05,0.004908848701618643,,,,,,,,,,,,,,,,,,,0.3466666666666667,0.476923076923077,0.05083965732680709,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001185091592780034,,,,,,,,,,,,,0.008406658707551008,0.00227531341051869,0.008767937190242337,,,,,,,0.06432224264442625
